Supplement	ID	Title	URL	Source	Type	Year	Educational Notes
vitamin-d	vitd-001	Adequacy of calcium and vitamin D nutritional status in a nationally representative sample of Irish teenagers aged 13–18 years	https://pmc.ncbi.nlm.nih.gov/articles/PMC9598778/	PMC	general	2022	"- Observational study using data from the National Teens’ Food Survey II (2019–2020).
- Found a high prevalence of inadequate calcium (67%) and vitamin D (94%) intake in Irish teenagers.
- Identified extended winter sampling, older age (16–18), low total vitamin D intake, and non-white skin type as predictors of vitamin D deficiency."
vitamin-d	vitd-002	Vitamin D and skin disorders: bridging molecular insights to clinical innovations	https://pmc.ncbi.nlm.nih.gov/articles/PMC12275319/	PMC	review	2025	"- A review synthesizing the immunoregulatory role of Vitamin D in skin diseases like atopic dermatitis and psoriasis.
- Highlights that the active form, calcitriol, modulates immune homeostasis by strengthening antimicrobial defense and downregulating inflammation.
- Suggests future clinical trials should analyze Vitamin D Receptor (VDR) polymorphisms as a predictive biomarker."
vitamin-d	vitd-003	Vitamin D and Clinical Outcomes in Head and Neck Cancer: A Systematic Review	https://pubmed.ncbi.nlm.nih.gov/40218858/	PubMed	systematic-review	2025	"- A systematic review of 16 studies (2015-2025) focusing on Vitamin D's role in Head and Neck Cancer (HNC).
- Found Vitamin D deficiency is highly prevalent (47% to 95%) among HNC patients, particularly in advanced stages.
- Suggests higher Vitamin D levels are linked to better survival and fewer treatment-related side effects like mucositis."
vitamin-d	vitd-004	Vitamin D and Multiple Health Outcomes: An Umbrella Review of Observational Studies, Randomized Controlled Trials, and Mendelian Randomization Studies	https://www.sciencedirect.com/science/article/pii/S2161831322000072	Other	meta-analysis	2022	"- An umbrella review combining observational studies, RCTs, and Mendelian randomization studies.
- Found that lower Vitamin D concentrations were associated with a higher risk for all-cause mortality, Alzheimer's, hypertension, schizophrenia, and type 2 diabetes.
- Concluded that Vitamin D supplementation is a promising strategy for long-term preventive effects on multiple chronic diseases."
vitamin-d	vitd-005	Critical Appraisal of Large Vitamin D Randomized Controlled Trials	https://pmc.ncbi.nlm.nih.gov/articles/PMC8778517/	PMC	review	2022	"- A critical review of large Vitamin D Randomized Controlled Trials (RCTs).
- Notes that most large RCTs did not restrict participants to those with Vitamin D deficiency, which may have masked potential benefits.
- Concludes that future trials should use more personalized approaches and focus on populations with Vitamin D deficiency or specific characteristics."
omega-3-fatty-acids	omg3-001	Effect of omega-3 fatty acids on cardiovascular outcomes: A systematic review and meta-analysis	https://pmc.ncbi.nlm.nih.gov/articles/PMC8413259/	PMC	meta-analysis	2021	"- A systematic review and meta-analysis on the effect of Omega-3 FAs on cardiovascular outcomes.
- Found Omega-3 FAs reduced cardiovascular mortality, non-fatal MI, and major adverse cardiovascular events (MACE).
- Noted that EPA monotherapy showed higher risk reductions than EPA + DHA, but also increased the risk of atrial fibrillation and total bleeding."
omega-3-fatty-acids	omg3-002	Effect of Omega-3 Polyunsaturated Fatty Acids on Cardiovascular Outcomes in Patients with Diabetes: A Meta-analysis of Randomized Controlled Trials	https://www.sciencedirect.com/science/article/pii/S2161831323002946	Other	meta-analysis	2023	"- A meta-analysis of RCTs focused on patients with diabetes.
- Found that Omega-3 FA supplementation reduced cardiovascular disease (CVD) risk in patients with diabetes (RR = 0.93).
- Noted that eicosapentaenoic acid (EPA) alone, but not EPA + DHA, significantly reduced the risk of CVD in this population."
omega-3-fatty-acids	omg3-004	Bioavailability of EPA and DHA in humans – A comprehensive review	https://www.sciencedirect.com/science/article/pii/S0163782724000511	Other	review	2025	"- A comprehensive review on the bioavailability of EPA and DHA in humans.
- Found that acute bioavailability differences based on chemical form (e.g., NEFA > EE) often do not persist in chronic supplementation.
- Emphasizes the need for standardized protocols and robust chronic studies to clarify the clinical implications of bioavailability differences."
probiotics	prob-001	Probiotics and gastrointestinal disorders: an umbrella meta-analysis of therapeutic efficacy	https://pmc.ncbi.nlm.nih.gov/articles/PMC12183855/	PMC	meta-analysis	2025	"- An umbrella meta-analysis showing probiotics significantly reduced symptoms like diarrhea, nausea, and bloating.
- Found effects were more pronounced with shorter intervention durations (≤ 2–4 weeks) and multi-strain formulations.
- Notes that moderate to high heterogeneity and generally low methodological quality in some included meta-analyses limit the robustness of the findings."
probiotics	prob-002	Systematic review and meta-analysis of randomized controlled trials on pre-, pro-, post- and synbiotic supplementation in follow-on formula	https://www.sciencedirect.com/science/article/pii/S0261561425001505	Other	meta-analysis	2025	"- A systematic review and meta-analysis of RCTs on biotics in follow-on formula for children.
- Found that the use of pre- and synbiotics appears more effective for viral respiratory infections than for diarrheal episodes.
- Concluded that high-quality evidence is sparse and called for larger, well-designed trials with a primary health-related endpoint."
probiotics	prob-003	Global analysis of clinical trials with probiotics	https://pmc.ncbi.nlm.nih.gov/articles/PMC7371762/	PMC	review	2020	"- A global analysis of over 1,000 clinical trials with probiotics registered on ClinicalTrials.gov and ICTRP.
- Found that Lactobacillus rhamnosus GG (LGG) and Bifidobacterium animalis ssp. lactis BB12 are the most frequently studied probiotic strains.
- Highlights the importance of defining probiotics at the specific strain level due to the great diversity of probiotic bacteria."
creatine	creat-001	The effects of creatine supplementation on cognitive function in adults: a systematic review and meta-analysis	https://pmc.ncbi.nlm.nih.gov/articles/PMC11275561/	PMC	meta-analysis	2024	"- A systematic review and meta-analysis on creatine's effect on adult cognitive function.
- Found significant positive effects on memory, attention time, and processing speed time.
- The certainty of evidence for memory function is moderate, while evidence for other cognitive domains is low."
creatine	creat-002	Effects of Creatine Supplementation and Resistance Training on Muscle Strength Gains in Adults <50 Years of Age: A Systematic Review and Meta-Analysis	https://www.mdpi.com/2072-6643/16/21/3665	Other	meta-analysis	2024	"- A systematic review and meta-analysis on creatine for muscle strength in adults <50.
- Found that creatine supplementation combined with resistance training significantly increased upper- and lower-body muscle strength.
- Noted a trend for greater lower-body strength gains from high-dose creatine and greater benefits likely in males than females."
creatine	creat-003	Creatine and Cognition in Aging: A Systematic Review of Evidence in Older Adults	https://pubmed.ncbi.nlm.nih.gov/40971619/	PubMed	systematic-review	2025	"- A systematic review on creatine and cognition in older adults (aged 55+).
- Found that five of six included studies reported a positive relationship between creatine and cognition, particularly in memory and attention.
- Concluded that the current limited evidence suggests potential benefits for cognition in generally healthy older adults, but high-quality clinical trials are warranted."
antioxidants	antiox-001	The Effect of Antioxidant Polyphenol Supplementation on Cardiometabolic Risk Factors: A Systematic Review and Meta-Analysis	https://www.mdpi.com/2072-6643/16/23/4206	Other	meta-analysis	2024	"- A systematic review and meta-analysis on the effect of polyphenol antioxidant supplements on cardiometabolic risk factors.
- Found that multiple polyphenol supplements improved cardiovascular risk markers, such as catechin decreasing blood pressure and anthocyanin improving blood lipid profiles.
- Supports the potential role of these supplements in cardiovascular health promotion."
